lambda,noise_std,mean_abs_k_change,frac_change_ge_1
0.5,0.005,0.0,0.0
0.5,0.01,0.0002881014116969173,0.0002881014116969173
0.5,0.02,0.001728608470181504,0.001728608470181504
0.5,0.05,0.0031691155286660906,0.0031691155286660906
1.0,0.005,0.004033419763756842,0.004033419763756842
1.0,0.01,0.007202535292422933,0.007202535292422933
1.0,0.02,0.014116969173148948,0.014116969173148948
1.0,0.05,0.03745318352059925,0.03745318352059925
2.0,0.005,0.0031691155286660906,0.0031691155286660906
2.0,0.01,0.010947853644482858,0.010947853644482858
2.0,0.02,0.018150388936905792,0.018150388936905792
2.0,0.05,0.04552002304811294,0.04552002304811294
3.0,0.005,0.008354940939210602,0.008354940939210602
3.0,0.01,0.017862287525208874,0.017862287525208874
3.0,0.02,0.026505329876116392,0.026505329876116392
3.0,0.05,0.06539902045520023,0.06539902045520023
